internal_temperature,pressure,external_temperature,timestamp
31.47999954,973.3027954,30.1875,613088
32.40999985,974.1090698,31.125,348091
32.70999908,975.1966553,31.4375,76450
29.86000061,973.350769,29.375,79190
30.93000031,973.4154663,30.75,365924
32.27999878,974.2545166,31.1875,94560
31.48999977,973.387207,30.1875,288207
30.34000015,973.4078979,30.125,15839
32.18999863,974.3696289,31.3125,173702
31.18000031,973.4246216,30.875,1002017
32.20999908,974.0562744,31.3125,7082
32.40999985,974.0186157,30.6875,525714
32.29000092,974.0125122,31.3125,112593
32.06999969,974.2446899,31.25,6507
32.40999985,974.0334473,30.625,553040
30.37000084,973.3883057,30.125,61383
31.20999908,973.3917236,30.875,1091584
30.86000061,973.4255371,30.75,262690
31.46999931,973.3049316,30.125,664706
32.31999969,974.0828247,31.375,21697
32.33000183,974.1467896,31.3125,142186
32.29000092,974.0215454,31.3125,111075
31.20999908,973.3954468,30.875,1073366
32.40000153,974.0057983,30.625,565185
32.34999847,974.2047119,31.25,191723
32.33000183,974.0615845,31.375,29287
30.54999924,973.4243774,30.4375,204178
32.27999878,974.265625,31.25,96078
31.15999985,973.4720459,30.75,910929
31.47999954,973.3301392,30.1875,625234
32.25999832,973.9547119,31.3125,272680
31.47999954,973.4628296,30.0625,102997
30.81999969,973.3634644,30.75,183750
32.31999969,971.6582642,33.1875,5272
30.89999962,973.4039917,30.75,314309
31.22999954,973.3582764,30.9375,1123465
31.57999992,970.3329468,30.75,8874
31.56999969,970.1130371,30.8125,34756
31.13999939,973.4123535,30.75,880566
31.26000023,973.3766479,30.875,1213033
31.05999947,973.4343872,30.625,660436
31.45999908,973.3179932,30.1875,766421
30.79999924,973.3936157,30.6875,159461
32.25,973.9534302,31.25,249908
32.13000107,974.350769,31.3125,131191
31.47999954,973.385376,30.25,376261
32.25,973.9810791,31.3125,204364
32.40000153,974.0999756,31.125,329873
32.38999939,974.0046997,30.625,581884
32.27000046,973.9580688,31.3125,287861
31.06999969,973.4204102,30.625,728752
31.20999908,973.4098511,30.9375,1112839
31.15999985,973.3886108,30.8125,950401
30.97999954,973.4087524,30.8125,479779
32.36999893,974.1147461,31.1875,243338
30.43000031,973.3894043,30.1875,28080
31.26000023,973.3279419,30.8125,1250985
31.02000046,973.4415894,30.75,546575
32.70999908,975.163269,31.4375,79486
32.40999985,974.0664673,31.0625,383008
32.15000153,974.3646851,31.3125,144856
30.40999985,973.3786011,30.1875,45946
30.48999977,973.4492188,30.25,93359
30.52000046,973.4656982,30.375,157119
32.29000092,974.0526733,31.3125,105003
31.21999931,973.3934326,30.9375,1096139
31.06999969,973.4151611,30.625,683207
32.43999863,971.5289307,33,12283
32.27000046,973.9967041,31.25,120867
31.5,973.4401855,30.125,271509
30.87000084,973.4365845,30.75,267244
31.48999977,973.4378052,30,253291
32.25999832,973.9476318,31.3125,90506
31.47999954,973.2878418,30.1875,623716
31.12000084,973.4246826,30.6875,803137
30.57999992,973.4425049,30.4375,261868
32.29000092,974.2537231,31.25,103668
32.77000046,971.5664063,31.875,9635
32.25999832,973.9823608,31.3125,278752
32.25999832,974.2592163,31.25,77860
30.95999908,973.423584,30.75,461562
32.72999954,975.196228,31.4375,70377
31.03000069,973.4505615,30.625,575421
32.41999817,974.0054932,30.75,490795
32.38999939,974.1060791,31.25,301028
31.14999962,973.4298706,30.75,900302
31.13999939,973.4542236,30.75,882084
32.36999893,974.1387329,31.1875,244856
31.47999954,973.3135986,30.1875,608535
31.36000061,973.5203247,30.3125,11909
30.32999992,973.3693237,30.1875,6476
31.20999908,973.4248657,30.9375,1080958
30.53000069,973.4140625,30.3125,166227
32.29000092,974.604248,31.25,18717
29.93000031,973.3568726,29.4375,127769
31.12000084,973.4199829,30.6875,845649
32.06999969,974.3451538,31.3125,94756
32.38999939,974.1269531,31.25,272182
32.25,973.9865723,31.3125,231690
31.46999931,973.354248,30.3125,494674
30.37000084,973.4249878,30.1875,11030
30.71999931,973.3990479,30.6875,91146
32.41999817,974.0493774,30.9375,436142
32.70999908,971.4090576,31.625,18549
31.48999977,973.4659424,30.125,128806
32.29999924,974.1461792,31.3125,96647
32.5,971.4677124,33.1875,42646
30.79999924,973.3770142,30.75,167051
32.31999969,974.2335815,31.1875,147695
32.25,974.0014038,31.3125,221063
31.04999924,973.4494629,30.5625,620964
32.25999832,973.9920044,31.3125,207400
32.16999817,974.3654785,31.375,155484
32.31000137,974.1384277,31.3125,60213
30.37000084,973.3954468,30.125,67455
30.70999908,973.4020386,30.6875,75965
30.98999977,973.4539185,30.75,494960
30.39999962,973.3990479,30.125,96298
30.5,973.4520264,30.3125,123721
31.10000038,973.4523315,30.6875,787956
30.62000084,973.4645996,30.5,51330
31.06999969,973.4373169,30.6875,668026
29.94000053,973.3287354,29.4375,133840
32.13999939,974.2380371,31.25,17133
31.18000031,973.407959,30.875,1006571
31.11000061,973.4171753,30.6875,807691
32.18999863,974.2645264,31.1875,39906
31.06999969,973.4268799,30.625,661954
31.46999931,973.3331299,30.1875,763386
32.38999939,974.0178833,30.5625,598584
31.22999954,973.2873535,30.75,1266164
30.37000084,973.4342041,30.0625,52273
31.46999931,973.3640747,30.1875,733023
30.92000008,973.4486084,30.75,368960
30.70999908,973.4074707,30.6875,77483
30.92000008,973.4076538,30.75,362888
32.40999985,974.053894,30.625,563667
31.5,973.4395142,30.1875,197121
32.41999817,974.038269,31,430070
32.38999939,974.0175171,30.625,594030
31,973.4628296,30.8125,519247
32.77000046,975.1732178,31.3125,18761
31.04999924,973.2620239,30.875,1024787
32.41999817,974.0267334,30.9375,443734
32.00999832,974.303894,31.25,46175
31.11000061,973.4523315,30.6875,800101
32.38000107,974.1640625,31.1875,250928
31.46999931,973.3546753,30.1875,699624
31.47999954,973.3688965,30.25,456721
30.97999954,973.4032593,30.75,469152
31.5,973.423584,30.0625,257847
31.12999916,973.4713135,30.6875,866902
31.48999977,973.4277954,30.1875,336788
32.22999954,973.9360352,31.25,54070
32.27000046,974.0223389,31.3125,91340
31.21999931,973.3822632,30.9375,1102212
32.54000092,971.4802856,32.75,91228
30.97999954,973.4199829,30.75,464598
32.29999924,974.1813965,31.3125,93611
30.95000076,973.4313965,30.6875,450935
30.57999992,973.4040527,30.6875,15241
30.62000084,973.4707642,30.6875,25870
32.25999832,974.288269,31.25,74824
30.88999939,973.401001,30.8125,423610
32.06999969,974.3395386,31.3125,100828
32.29000092,974.0783081,31.3125,47878
32.36000061,974.1450195,31.375,178623
31.45000076,973.4736938,30.1875,54417
30.98999977,973.4671631,30.75,485851
32.25999832,974.0041504,31.3125,186146
31.5,973.4874878,30.1875,151577
32.41999817,974.0309448,30.875,472577
32.25,974.0641479,31.3125,53384
32.27000046,973.9634399,31.3125,114795
30.51000023,973.4700928,30.3125,131311
31.48999977,973.4106445,30.1875,279100
32.40000153,974.1503296,31.25,307102
30.39999962,973.3853149,30.1875,102370
32.31999969,974.2766113,31.25,127960
31.47999954,973.3762207,30.25,467347
31.45999908,973.3847046,30.25,745169
32.25,973.9920044,31.3125,227137
32.29999924,974.1535645,31.3125,99682
32.45000076,971.5114136,33,13801
32.58000183,971.6694336,33.1875,6789
31.17000008,973.4450684,30.8125,985318
32.20999908,973.9467163,31.25,41926
32.29999924,974.6132813,31.3125,26309
31.17000008,973.3786011,30.875,964064
30.98999977,973.4157104,30.75,473707
31.20999908,973.3972168,30.875,1088548
32.27999878,974.095459,31.3125,11069
32.29999924,974.1186523,31.375,92091
30.45999908,973.4168701,30.25,69068
31.06999969,973.4152832,30.6875,678653
31.47999954,973.4519653,30.125,92371
31.5,973.4818726,30.125,165241
32.22000122,973.9584351,31.3125,51034
32.74000168,975.1843872,31.4375,59751
32.20999908,973.8765869,31.1875,37370
31.47999954,973.381897,30.3125,477975
29.75,973.3423462,29.375,54902
30.55999947,973.454834,30.4375,220877
32.40999985,974.0315552,30.625,548486
32.31999969,974.2669678,31.25,141623
31.03000069,973.4561157,30.5625,583011
30.77000046,973.3345947,30.6875,130615
31.13999939,973.4467773,30.75,883602
31.47999954,973.3690796,30.25,503782
32.40999985,974.0446167,30.5625,554558
32.34000015,974.1221313,31.3125,148260
32.40999985,974.0645142,31.0625,392117
32.25,973.9846802,31.3125,208919
32.41999817,974.0622559,31,425516
32.31000137,974.2564087,31.25,132514
32.77000046,975.1604614,31.375,20279
30.92000008,973.434082,30.75,353779
32.22999954,973.9298706,31.25,55589
32.5,971.4332275,33.125,45683
32.72999954,975.1898193,32.375,106808
31.23999977,973.3665771,30.875,1164455
32.27000046,973.9801636,31.3125,158821
31.47999954,973.322998,30.25,523518
29.79000092,973.3430176,29.375,57938
32.27000046,973.9781494,31.3125,152748
31.94000053,974.0966187,31.3125,5565
31.47999954,973.3799438,30.1875,392961
32.27999878,974.0112305,31.3125,347068
30.67000008,973.4037476,30.6875,54713
31.04000092,973.4523315,30.5625,592121
32.83000183,971.5420532,31.8125,38479
31.47999954,973.3504028,30.3125,535662
32.38000107,974.0882568,31.25,269144
31.47999954,973.3965454,30.1875,435466
31,973.4187622,30.75,510140
31.20000076,973.397644,30.9375,1065777
31.03000069,973.4284668,30.625,587565
32.79000092,971.5411987,31.875,19694
30.95000076,973.4216309,30.8125,476743
30.92000008,973.4101563,30.75,355297
32.22000122,974.366394,31.375,191920
32.27000046,973.9650269,31.3125,148195
31.15999985,973.4117432,30.8125,941291
31.21999931,973.4007568,30.9375,1094621
31.48999977,973.416626,30.125,294280
32.27000046,973.9707642,31.3125,337960
32.22999954,974.3900757,31.375,196474
31.06999969,973.4226685,30.6875,677135
32.83000183,971.5443726,31.75,36961
31.04000092,973.4277954,30.625,611857
32.36999893,974.1628418,31.25,234229
31.48999977,973.4332275,30.1875,306427
31.45999908,973.4733887,30.125,63526
32.31000137,974.116272,31.3125,105754
30.54999924,973.4879761,30.6875,10687
32.20000076,973.9026489,31.25,29781
31.03000069,973.4489136,30.625,576939
32.29999924,974.0946045,31.3125,84501
30.81999969,973.3800049,30.75,186786
31.89999962,974.2854614,31.25,9741
31.47999954,973.3429565,30.3125,531108
32.72999954,975.1881104,31.8125,97701
32.27000046,973.9467773,31.3125,117831
31.46999931,973.4966431,30.0625,74154
31.97999954,974.2775269,31.25,34030
30.88999939,973.4353027,30.75,303681
31.09000015,973.4143677,30.625,743932
32.40000153,974.017334,30.5625,574294
31.04000092,973.4206543,30.5625,593639
32.31999969,974.1784668,31.3125,137632
31.12000084,973.4425049,30.6875,828948
31.46999931,973.3217163,30.1875,717840
32.54999924,971.4562988,32.75,88192
31.47999954,973.3337402,30.1875,558436
32.25,973.9902954,31.3125,262054
31.07999992,973.3984375,30.625,689279
30.97999954,973.414856,30.75,499514
32.41999817,974.0640869,31,439180
31.23999977,973.3441162,30.875,1181154
30.73999977,973.361145,30.6875,109362
31.47999954,973.3945923,30.25,355005
32.75,971.5306396,31.875,9068
32.22999954,974.2609253,31.25,58124
32.29999924,974.2810669,31.25,108224
31.07999992,973.4112549,30.625,709017
31.47999954,973.3265381,30.1875,611570
30.89999962,973.4397583,30.75,338599
31.47999954,973.2970581,30.25,614606
32.41999817,974.1070557,31.125,354162
30.37000084,973.402832,30.125,58347
32.06999969,974.3156128,31.3125,97792
31.11000061,973.4488525,30.6875,781886
32.31000137,974.258728,31.25,121888
32.36999893,974.1204834,31.25,240303
31.37000084,973.5253296,30.25,13427
30.70999908,973.3959351,30.6875,80519
31.23999977,973.394043,30.9375,1161419
32.36000061,974.1744385,31.25,220565
32.40999985,974.0549927,31.0625,369344
31.20000076,973.3431396,30.9375,1077922
31.47999954,973.385376,30.3125,482529
32.27000046,973.9841919,31.3125,293933
30.37000084,973.3771973,30.125,53791
31.47999954,973.4001465,30.1875,353487
31.47999954,973.3375244,30.3125,518962
32.25999832,974.0690918,31.3125,70085
32.84000015,971.534668,31.8125,39999
32.31000137,974.1621704,31.3125,111825
31.20000076,973.4053955,30.9375,1055149
29.88999939,973.3641968,29.4375,95888
31.19000053,973.4227295,30.875,1029342
30.38999939,973.416626,30.1875,94780
30.88999939,973.4187012,30.75,312791
30.97999954,973.4456177,30.75,470670
31.03000069,973.4562378,30.625,564794
30.86000061,973.4168091,30.8125,247509
30.84000015,973.4082642,30.75,217148
31.21999931,973.4081421,30.9375,1097657
31.12000084,973.3200073,30.875,1026305
30.42000008,973.3563232,30.1875,56574
31.09000015,973.4387207,30.625,745450
31.47999954,973.4093628,30.1875,400550
32.31000137,974.1199951,31.3125,81466
31.07999992,973.4334106,30.625,695353
32.24000168,974.0142822,31.25,252944
32.74000168,975.1709595,31.375,46087
32.77000046,975.1843872,31.3125,9654
32.25999832,973.9614258,31.3125,310632
32.70000076,971.4300537,31.625,15513
32.50999832,971.5296631,33.125,50236
32.25999832,973.9993896,31.3125,211955
32.72999954,975.1917114,32.4375,108326
32.18999863,973.8972168,31.25,26745
32.79999924,971.5440674,31.8125,18743
32.31000137,974.0646362,31.3125,50914
31.25,973.3862305,30.875,1179636
29.87999916,973.3571167,29.375,89816
30.85000038,973.4003296,30.8125,239919
31.5,973.4634399,30.125,168277
32.75999832,975.1606445,31.375,40016
31.5,973.4302979,30.125,184976
32.81000137,971.5413818,31.75,24817
30.80999947,973.3602295,30.75,179196
31.47999954,973.3743896,30.25,465829
31.26000023,973.3729858,30.875,1211515
31.5,973.4396362,30.125,207748
32.40000153,974.0114746,30.5625,571256
31.47999954,973.3376465,30.3125,485565
30.40999985,973.3829956,30.1875,38356
31.05999947,973.4968872,30.6875,655880
30.54999924,973.447998,30.4375,196589
31.09000015,973.4382935,30.625,746968
32.25,973.9976807,31.3125,237762
30.35000038,973.3765869,30.125,20393
30.38999939,973.4074707,30.125,93262
31.47999954,973.2878418,30.1875,594871
32.15000153,974.3518677,31.3125,141819
31.10000038,973.4655762,30.625,763668
30.89999962,973.3964844,30.75,320381
32.45000076,971.4832764,33.125,21393
31.48999977,973.4553223,30.125,307945
30.88999939,973.4020386,30.75,323419
32.02999878,974.3431396,31.3125,79575
31.25,973.406189,30.8125,1187226
32.47000122,971.5140381,33.1875,25947
31.17000008,973.4289551,30.8125,962546
31.20000076,973.3870239,30.9375,1064259
32.25,974.0067139,31.3125,205882
32.75,971.4807739,31.625,42840
31.5,973.4470215,30.125,160687
31.13999939,973.4492188,30.75,865384
31.07999992,973.4168701,30.625,718124
31.26000023,973.355957,30.8125,1220622
